date_witness,date_agent,witness,agent,latitude,longitude,city_agent,country,city,has_weapon,has_hat,has_jacket,behavior
1998-07-31,1998-09-20,Megan Stephenson,Jennifer Hoffman,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,true,true,paranoid
2018-01-26,2018-03-14,Jennifer Hill,Justin Whitehead,-20.88231,55.4504,Saint-Denis,RE,Reunion,false,false,true,scared
1987-11-20,1988-01-13,Deborah Lawson,Wesley Horton,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,false,true,oblivious
2008-02-23,2008-02-25,Denise Howard,Jeremy Mccullough,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,true,true,fleeing
1994-12-31,1995-02-26,Lisa Kim,Rose Reed,-22.9,44.53333,Sakaraha,MG,Antananarivo,true,false,true,oblivious
2020-12-06,2021-01-20,Shane Jackson,Jeffrey Johnson,-22.9,44.53333,Sakaraha,MG,Antananarivo,true,true,true,oblivious
2019-03-04,2019-04-05,Kristy Moore,Meredith Gibbs,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,false,true,confessing
1996-07-28,1996-09-06,Kirsten Mayo,Randy Simmons,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,friendly
1985-11-01,1985-11-21,Michael Cabrera,Jennifer Cook,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,worried
1992-05-05,1992-06-04,Carlos Nelson,Bradley Ewing,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,evasive
2015-12-13,2016-01-24,Jeffrey Nguyen,Ashley Larson,-20.88231,55.4504,Saint-Denis,RE,Reunion,false,true,true,happy
1986-11-17,1986-12-02,Terry Moreno,Amy Gomez,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,true,true,injured
1997-12-05,1997-12-18,Kayla Rice,Edward Anderson,-20.88231,55.4504,Saint-Denis,RE,Reunion,true,false,true,sad
2009-11-24,2010-01-10,Carolyn Burnett,Mary Weaver,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,true,true,evasive
2003-12-25,2003-12-29,Bradley Johnson,Ashley Carr,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,accusatory
2005-04-20,2005-06-14,Nancy Mack,Ryan Watkins,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,false,true,hostile
2020-10-15,2020-10-17,Sara Brown,Parker Mitchell,-19.65,47.31667,Antanifotsy,MG,Antananarivo,true,true,true,out-of-control
1999-04-23,1999-06-20,Tyler James,Shelia Holmes,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,true,true,sad
2019-11-12,2019-12-20,Amy Vega,Gerald Green,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,talkative
2010-08-15,2010-09-04,Ricky Gray,Mary Scott,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,true,true,happy
2002-06-27,2002-07-17,Kristy Wilson,Tracy Blackwell,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,true,true,tense
2012-04-14,2012-06-01,Jason Schmidt,Patricia Edwards,-20.88231,55.4504,Saint-Denis,RE,Reunion,false,false,true,paranoid
2016-12-28,2016-12-28,Robert Swanson,Hannah Lindsey,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,false,true,accusatory
2022-01-31,2022-03-09,Jim Simon,Fernando Davis,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,true,true,lonely
2012-11-19,2013-01-01,Leah Harrington,Jennifer Shannon,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,false,true,happy
2015-01-14,2015-02-23,Michael Elliott,Fernando Davis,-20.88231,55.4504,Saint-Denis,RE,Reunion,false,false,true,paranoid
2016-02-16,2016-02-25,David Fletcher,Shawn Ramirez,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,false,friendly
1994-03-19,1994-04-07,Jennifer Werner,Patricia Miller,-20.88231,55.4504,Saint-Denis,RE,Reunion,false,true,true,sad
2016-05-16,2016-06-10,Stephanie Macias,Gabrielle Mendez,-19.65,47.31667,Antanifotsy,MG,Antananarivo,false,true,true,hostile
1999-12-12,2000-01-29,Elizabeth Hernandez,Ashley Taylor,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,true,true,silent
2008-02-22,2008-04-01,Vincent Mann,Stacey Morris,-20.88231,55.4504,Saint-Denis,RE,Reunion,false,false,true,lonely
2012-04-21,2012-05-08,Amber Mason,Rebecca Snyder MD,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,false,false,true,evasive
1999-02-22,1999-03-16,Maurice Mills,Martin Diaz,-22.9,44.53333,Sakaraha,MG,Antananarivo,false,false,true,worried
1992-09-06,1992-11-04,Sarah Patrick,Marie Hill,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,false,true,talkative
1988-04-07,1988-05-30,William Becker,Rita Johnson,-20.88231,55.4504,Saint-Denis,RE,Reunion,false,true,true,tense
2018-06-27,2018-07-01,Frank Ortiz,Adam Smith,-21.15,46.58333,Ikalamavony,MG,Antananarivo,false,true,true,friendly
