date_witness,date_agent,witness,agent,latitude,longitude,city_agent,country,city,has_weapon,has_hat,has_jacket,behavior
2000-10-21,2000-12-10,Stacy Montgomery,Kristin Werner,20.88953,-156.47432,Kahului,US,Honolulu,true,true,true,lonely
2015-07-12,2015-08-05,Joseph White,Joseph Moore DVM,-38.65333,178.00417,Gisborne,NZ,Auckland,false,false,true,over-complimenting
1995-06-27,1995-08-18,Kelly Miller,Stacey Morris,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,false,true,true,accusatory
2021-04-29,2021-05-25,Elizabeth Frost,Christopher Ross,20.88953,-156.47432,Kahului,US,Honolulu,false,false,false,friendly
2006-09-11,2006-10-12,Alice Wright,Chad Chandler,20.88953,-156.47432,Kahului,US,Honolulu,false,false,true,paranoid
1997-03-27,1997-05-04,Jacob Osborne,Julia Reynolds,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,false,true,true,tense
2009-10-28,2009-11-08,Daniel Turner,Lauren Smith,-44.39672,171.25364,Timaru,NZ,Auckland,false,false,true,silent
1996-10-30,1996-11-12,Patrick Walker,Micheal Thomas,-17.73648,168.31366,Port-Vila,VU,Efate,false,false,true,worried
2004-05-12,2004-07-04,Shane Melton,Christina Krause,-38.65333,178.00417,Gisborne,NZ,Auckland,false,true,true,scared
2020-10-24,2020-10-26,Amanda Mcintosh,Katelyn Cook,-38.65333,178.00417,Gisborne,NZ,Auckland,false,true,true,hostile
2011-08-31,2011-09-08,Maurice Diaz,Thomas Hamilton,-17.73648,168.31366,Port-Vila,VU,Efate,false,true,true,out-of-control
2006-03-07,2006-03-28,Raymond Jenkins,Ray Hall,-17.73648,168.31366,Port-Vila,VU,Efate,false,false,true,paranoid
1985-09-22,1985-10-15,Michael Bell,Evelyn Hines,-38.65333,178.00417,Gisborne,NZ,Auckland,false,true,true,silent
2012-09-28,2012-10-13,Louis Snyder,Patricia Edwards,-17.73648,168.31366,Port-Vila,VU,Efate,false,false,false,fleeing
2007-11-20,2007-12-30,Michael Mitchell,Michael Webb,-38.65333,178.00417,Gisborne,NZ,Auckland,false,false,true,paranoid
2005-01-05,2005-01-06,Brendan Bryant,Kendra Mercado,-17.73648,168.31366,Port-Vila,VU,Efate,false,true,true,unhappy
2015-03-27,2015-05-15,Lisa Schneider,Dominic Peters,-38.65333,178.00417,Gisborne,NZ,Auckland,false,true,true,friendly
1989-08-24,1989-10-16,Matthew Harrison,Stephen Mills,-44.39672,171.25364,Timaru,NZ,Auckland,false,true,true,unhappy
1995-10-03,1995-11-14,Lauren Young,Thomas Hamilton,20.88953,-156.47432,Kahului,US,Honolulu,true,true,true,panicking
1985-05-31,1985-07-29,Rebecca Brown,Bradley Ewing,-17.73648,168.31366,Port-Vila,VU,Efate,true,true,true,insulting
1994-08-07,1994-09-26,Barbara Williams,Kimberly Woods,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,false,false,true,sad
2001-03-02,2001-04-12,Michael Brown,Latasha Norris,20.88953,-156.47432,Kahului,US,Honolulu,false,true,true,insulting
